prompt,audio_url_a,audio_url_b,model_a,model_b,is_attention_check
"This is an indie folk music piece. There is a melancholic melody being played by the banjo and the trombone, then they both stop and the organ can be heard holding a note. The atmosphere is sentimental. This piece could be used in the soundtrack of a drama, especially during the scenes where people are mourning the loss of a character.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/VSf3_XpiPkQ_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/VSf3_XpiPkQ_seg2.wav,SASS,TF-MusicGen,FALSE
Synthesizes are playing dreamy pads with a lot of reverb. This song may be playing while watching a documentary.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/DZ3EShJzOOc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/DZ3EShJzOOc_seg2.wav,SASS,TF-MusicGen,FALSE
This is a tongue-in-cheek version of a reggae song edited to make it sound like a movie character was featured in it. It has a male vocal that starts singing with a Jamaican accent that turns into gibberish. Clean electric guitar and bass guitar provide the melodic background while the acoustic drums and percussion play a basic reggae beat for the rhythmic background.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/7ZXz3Xa7APs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/7ZXz3Xa7APs_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a drum & bass song that consists of a repetitive female vocal sound effect, growl synth bass, manic percussions, shimmering hi hats, punchy kick and snare hits and echoing synth pad. It sounds energetic, aggressive and manic - like something you would hear in underground clubs during the 00s.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/qjH068GOmQ4_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/qjH068GOmQ4_seg2.wav,SASS,TF-MusicGen,FALSE
"hip hop music featuring a young male rapper over a minimalist beat with only percussion such as cowbell, kick drum, shaker, and triangle.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/2RMOegT2Jn8_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/2RMOegT2Jn8_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a children's song that features a flat male vocal, alongside wide harmonizing children vocals, singing over acoustic rhythm guitar, steel guitar melody, happy bells melody, soft kick hits, mellow snare hits, shimmering hi hats and groovy bass. It sounds joyful, happy and exciting.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/BfUoopDpmmY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/BfUoopDpmmY_seg2.wav,SASS,TF-MusicGen,FALSE
"This piece has no melody. Only percussion instruments can be heard in the background. The drumming is rapid and vigorous with a boomy bass drum and sounds of a helicopter, roaring, grunting,gunshots, blasts,fireworks, and clanging of metal and a siren at the end. The vibe is intense, sinister, hostile and dangerous.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/9iYxf1hS4Yk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/9iYxf1hS4Yk_seg2.wav,SASS,TF-MusicGen,FALSE
A banjo is playing a solo along to an upright-bass laying a simple monotone bassline. This song may be playing in a bar with live music. This is an amateur recording.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/ad6gQQ_0evk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/ad6gQQ_0evk_seg2.wav,TF-MusicGen,SASS,FALSE
"A female vocalist sings this delicate harmony. The tempo is slow with an organ accompaniment. It is soft, mellow, meditative, enigmatic, mysterious, melancholic and haunting. This song is a Modern Classical.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/_nrz_BawPMY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/_nrz_BawPMY_seg2.wav,TF-MusicGen,SASS,FALSE
"The song is an instrumental. The tempo is medium with a marching band rhythm, snares playing percussively , cymbals crashing, brass band harmony, trumpets blaring, trombones and tubas playing long notes. The song has a patriotic fervour and inspires. The overall sound quality is poor.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/tKawN2sxhYc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/tKawN2sxhYc_seg2.wav,SASS,TF-MusicGen,FALSE
